fecha,cod_ine,municipio,confirmados
2020-03-19,20101,Nuestra Señora de La Paz,1
2020-03-24,20101,Nuestra Señora de La Paz,1
2020-03-24,21701,Copacabana,1
2020-03-25,20101,Nuestra Señora de La Paz,1
2020-03-26,20101,Nuestra Señora de La Paz,2
2020-03-26,20105,El Alto,2
2020-03-28,20101,Nuestra Señora de La Paz,1
2020-03-28,21305,Patacamaya,1
2020-03-29,20101,Nuestra Señora de La Paz,2
2020-03-29,20105,El Alto,1
2020-03-30,20105,El Alto,1
2020-03-31,20101,Nuestra Señora de La Paz,2
2020-04-01,20101,Nuestra Señora de La Paz,1
2020-04-02,20101,Nuestra Señora de La Paz,1
2020-04-02,20105,El Alto,2
2020-04-03,20101,Nuestra Señora de La Paz,1
2020-04-04,20101,Nuestra Señora de La Paz,1
2020-04-04,20105,El Alto,1
2020-04-04,20905,Cairoma,1
2020-04-05,20101,Nuestra Señora de La Paz,3
2020-04-05,20105,El Alto,2
2020-04-05,21305,Patacamaya,4
2020-04-06,20101,Nuestra Señora de La Paz,2
2020-04-06,20105,El Alto,1
2020-04-06,21305,Patacamaya,2
2020-04-07,20101,Nuestra Señora de La Paz,1
2020-04-07,20105,El Alto,1
2020-04-08,20101,Nuestra Señora de La Paz,10
2020-04-08,20105,El Alto,8
2020-04-10,20105,El Alto,2
2020-04-11,20905,Cairoma,6
2020-04-12,20101,Nuestra Señora de La Paz,3
2020-04-12,21202,Laja,1
2020-04-12,21305,Patacamaya,4
2020-04-13,20101,Nuestra Señora de La Paz,1
2020-04-13,20105,El Alto,1
2020-04-13,21305,Patacamaya,5
2020-04-14,20101,Nuestra Señora de La Paz,9
2020-04-14,20105,El Alto,1
2020-04-14,20904,Malla,1
2020-04-15,20101,Nuestra Señora de La Paz,3
2020-04-15,20105,El Alto,3
2020-04-15,21101,Chulumani,1
2020-04-15,21305,Patacamaya,3
2020-04-16,20101,Nuestra Señora de La Paz,17
2020-04-16,20105,El Alto,1
2020-04-16,21305,Patacamaya,1
2020-04-18,20105,El Alto,6
2020-04-19,20105,El Alto,7
2020-04-20,20105,El Alto,1
2020-04-21,20101,Nuestra Señora de La Paz,2
2020-04-21,20105,El Alto,1
2020-04-22,20101,Nuestra Señora de La Paz,2
2020-04-22,20105,El Alto,1
2020-04-23,20101,Nuestra Señora de La Paz,4
2020-04-23,20105,El Alto,2
2020-04-23,21305,Patacamaya,4
2020-04-24,20101,Nuestra Señora de La Paz,2
2020-04-24,20105,El Alto,2
2020-04-24,21003,Cajuata,1
2020-04-25,20101,Nuestra Señora de La Paz,4
2020-04-26,20101,Nuestra Señora de La Paz,5
2020-04-26,20105,El Alto,4
2020-04-27,20101,Nuestra Señora de La Paz,5
2020-04-27,20105,El Alto,7
2020-04-27,20905,Cairoma,4
2020-04-28,20105,El Alto,3
2020-04-29,20101,Nuestra Señora de La Paz,3
2020-04-29,20105,El Alto,8
2020-04-29,20201,Achacachi,1
2020-04-29,20801,Viacha,1
2020-04-29,21305,Patacamaya,1
2020-04-30,20101,Nuestra Señora de La Paz,12
2020-04-30,20105,El Alto,12
2020-04-30,21305,Patacamaya,1
2020-05-01,20105,El Alto,2
2020-05-02,20101,Nuestra Señora de La Paz,4
2020-05-02,20105,El Alto,3
2020-05-03,20105,El Alto,4
2020-05-03,21301,Sicasica,1
2020-05-04,20105,El Alto,2
2020-05-05,20101,Nuestra Señora de La Paz,1
2020-05-05,20105,El Alto,7
2020-05-05,20801,Viacha,2
2020-05-06,20101,Nuestra Señora de La Paz,5
2020-05-06,20801,Viacha,2
2020-05-07,20101,Nuestra Señora de La Paz,8
2020-05-07,20105,El Alto,3
2020-05-08,20101,Nuestra Señora de La Paz,14
2020-05-08,20105,El Alto,8
2020-05-08,21305,Patacamaya,1
2020-05-09,20101,Nuestra Señora de La Paz,5
2020-05-09,20105,El Alto,2
2020-05-10,20101,Nuestra Señora de La Paz,3
2020-05-10,20105,El Alto,5
2020-05-11,20105,El Alto,4
2020-05-12,20101,Nuestra Señora de La Paz,3
2020-05-13,20101,Nuestra Señora de La Paz,2
2020-05-13,21301,Sicasica,1
2020-05-14,20101,Nuestra Señora de La Paz,2
2020-05-14,20105,El Alto,1
2020-05-15,20101,Nuestra Señora de La Paz,1
2020-05-15,20105,El Alto,1
2020-05-15,21302,Umala,3
2020-05-16,20101,Nuestra Señora de La Paz,2
2020-05-16,20105,El Alto,3
2020-05-16,21302,Umala,1
2020-05-17,20101,Nuestra Señora de La Paz,1
2020-05-17,20105,El Alto,1
2020-05-18,20101,Nuestra Señora de La Paz,1
2020-05-18,20105,El Alto,4
2020-05-18,22001,Caranavi,2
2020-05-19,20101,Nuestra Señora de La Paz,7
2020-05-19,20105,El Alto,5
2020-05-19,21302,Umala,1
2020-05-20,20101,Nuestra Señora de La Paz,6
2020-05-20,20105,El Alto,2
2020-05-21,20101,Nuestra Señora de La Paz,4
2020-05-21,20105,El Alto,5
2020-05-21,21302,Umala,3
2020-05-22,20101,Nuestra Señora de La Paz,3
2020-05-22,20105,El Alto,3
2020-05-23,20101,Nuestra Señora de La Paz,4
2020-05-23,22001,Caranavi,1
